Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
2025-R22,0,0,1,1,1,69,8,1,0,2,1,0
2025-R21,0,4,0,4,1,70,12,0,0,2,0,0
2025-R20,0,2,1,1,0,60,9,0,0,7,2,0
2025-R19,0,1,1,1,1,51,13,1,0,4,0,0
2025-R18,0,1,1,0,0,71,8,0,0,2,2,0
2025-R17,0,0,0,1,1,65,11,1,0,10,2,0
2025-R16,1,0,0,2,0,64,4,0,0,7,0,0
2025-R15,0,0,0,1,1,69,2,2,0,4,1,0
2025-R14,0,0,1,0,0,73,4,1,0,4,1,0
2025-R13,0,0,0,2,1,63,13,1,0,3,2,0
2025-R11,0,1,0,4,1,70,7,1,0,4,0,0
2025-R10,0,0,0,2,0,53,3,1,0,5,1,0
2025-R09,0,0,0,0,1,62,8,0,0,4,1,0
2025-R08,0,1,0,0,1,60,10,0,0,3,0,0
2025-R07,1,1,1,0,0,65,3,0,0,4,1,0
2025-R06,0,3,0,1,1,53,10,1,0,5,1,0
2025-R05,0,0,0,0,0,60,9,0,0,6,1,0
2025-R04,0,3,0,3,1,66,10,0,0,3,0,0
2025-R03,0,1,0,1,0,64,3,1,0,4,1,0
2025-R02,0,0,1,2,0,67,6,0,0,1,0,0
2025-R01,1,0,0,1,1,58,6,0,0,3,1,0
2024-R38,1,0,1,2,1,64,10,0,0,4,0,0
2024-R37,0,1,0,2,0,66,5,0,0,11,0,0
2024-R36,0,3,2,0,1,59,11,1,0,3,1,0
2024-R35,0,0,0,0,0,67,7,1,0,2,1,0
2024-R34,0,0,1,2,0,65,14,0,0,1,0,0
2024-R33,0,0,0,0,1,57,14,1,0,2,0,0
2024-R32,0,0,0,1,0,50,3,1,0,5,0,0
2024-R31,1,1,1,3,1,78,9,0,0,2,1,0
2024-R30,0,0,2,0,1,55,11,1,0,7,1,0
2024-R29,0,1,0,1,0,54,5,1,0,6,0,0
2024-R28,0,0,0,1,1,69,13,2,0,5,1,0
2024-R27,1,1,1,2,0,58,14,0,0,5,0,0
2024-R26,0,0,1,1,1,63,9,0,0,3,1,0
2024-R25,1,1,1,0,0,55,4,2,0,8,2,0
2024-R24,0,1,1,1,1,60,7,0,0,3,1,0
2024-R23,1,1,3,0,0,44,5,0,0,4,1,0
2024-R22,0,0,1,1,1,53,6,1,0,1,2,0
2024-R21,0,0,1,0,0,39,1,0,0,9,1,0
2024-R20,0,1,0,1,1,58,9,1,0,6,2,0
2024-R19,0,1,1,1,0,59,2,0,0,4,0,0
